Status,Max Seats,Seats Available,WL Available,CRN,Course,Title,Credit Hours,Instructor,Materials,Book Title and Edition,Author,ISBN,Copyright Year,Publisher
On Campus,50,3,0,80679,"=""ACG 2071""",Intro to Managerial Accounting,3,"Chenoweth, T.",Required Material,CNCT OL ACC MGRL ACCTG Edition: 16th,Garrison,9781259995385,2018,McGraw-Hill Higher Education
Closed,51,-1,0,80678,"=""ACG 2071""",Intro to Managerial Accounting,3,"Furticella, E.",Required Material,CNCT OL ACC MGRL ACCTG Edition: 16th,Garrison,9781259995385,2018,McGraw-Hill Higher Education
Closed,51,0,0,80677,"=""ACG 2071""",Intro to Managerial Accounting,3,"Furticella, E.",Required Material,CNCT OL ACC MGRL ACCTG Edition: 16th,Garrison,9781259995385,2018,McGraw-Hill Higher Education
Closed,51,0,0,80676,"=""ACG 2071""",Intro to Managerial Accounting,3,"Furticella, E.",Required Material,CNCT OL ACC MGRL ACCTG Edition: 16th,Garrison,9781259995385,2018,McGraw-Hill Higher Education
On Campus,38,12,0,80686,"=""ACG 3103""",Intermediate Fin. Acctg. I,3,"Burgess, D.",Required Material,Intermediate Accounting (w/out Access) Edition: 16th,Kieso,9781118743201,2016,"John Wiley & Sons, Incorporated"
On Campus,38,12,0,80686,"=""ACG 3103""",Intermediate Fin. Acctg. I,3,"Burgess, D.",Required Material,Financial Accounting Exam Questions & Explanations Edition: 19th,Gleim,9781618540232,2015,Gleim Publications
On Campus,37,3,0,80681,"=""ACG 3103""",Intermediate Fin. Acctg. I,3,"Johnson, E.",Required Material,Intermediate Accounting (Loose Pgs) Edition: 16th,Kieso,9781118742976,2016,"John Wiley & Sons, Incorporated"
On Campus,35,4,0,80684,"=""ACG 3113""",Intermediate Fin. Acctg. II,3,"Valencia, A.",Required Material,Intermediate Accounting (Loose Pgs) Edition: 16th,Kieso,9781118742976,2016,"John Wiley & Sons, Incorporated"
On Campus,35,7,0,80683,"=""ACG 3113""",Intermediate Fin. Acctg. II,3,"Valencia, A.",Required Material,Intermediate Accounting (Loose Pgs) Edition: 16th,Kieso,9781118742976,2016,"John Wiley & Sons, Incorporated"
Closed,38,-3,0,83215,"=""ACG 3341""",Cost Accounting,3,"Johnson, E.",Required Material,Cost Accounting (TEXT ONLY) Edition: 9th,Kinney,9781111971724,2013,Cengage Learning
On Campus,38,8,0,80687,"=""ACG 3341""",Cost Accounting,3,"Johnson, E.",Required Material,Cost Accounting (TEXT ONLY) Edition: 9th,Kinney,9781111971724,2013,Cengage Learning
Closed,32,0,0,80688,"=""ACG 3401""",Accounting Information Systems,3,"Benford, T.",Required Material,Accounting Information Systems (Connect Access Code) Edition: 2nd,Richardson,9781260008944,,McGraw-Hill
On Campus,32,6,0,80689,"=""ACG 3401""",Accounting Information Systems,3,"Benford, T.",Required Material,Accounting Information Systems (Connect Access Code) Edition: 2nd,Richardson,9781260008944,,McGraw-Hill
On Campus,34,2,0,80690,"=""ACG 4123""",Intermediate Fin. Acct. III,3,"Burgess, D.",Required Material,Intermediate Accounting (w/out Access) Edition: 16th,Kieso,9781118743201,2016,"John Wiley & Sons, Incorporated"
Closed,34,-2,0,80691,"=""ACG 4123""",Intermediate Fin. Acct. III,3,"Burgess, D.",Required Material,Intermediate Accounting (w/out Access) Edition: 16th,Kieso,9781118743201,2016,"John Wiley & Sons, Incorporated"
On Campus,50,4,0,80693,"=""ACG 4501""",Government & Not-for-Profit,3,"Volkan, A.",Required Material,Governmental & Nonprofit Accounting Edition: 11th,Freeman,9780133799569,2018,Pearson
On Campus,30,11,0,80695,"=""ACG 4632""",Independent Audit I,3,"Pinello, A.",Required Material,Contemporary Auditing Edition: 11th,Knapp,9781305970816,2018,Cengage Learning
On Campus,30,11,0,80695,"=""ACG 4632""",Independent Audit I,3,"Pinello, A.",Required Material,Auditing & Assurance Services Edition: 7th,Thibodeau,9781259573286,2017,McGraw-Hill
On Campus,30,8,0,80698,"=""ACG 4632""",Independent Audit I,3,"Pinello, A.",Required Material,Contemporary Auditing Edition: 11th,Knapp,9781305970816,2018,Cengage Learning
On Campus,30,8,0,80698,"=""ACG 4632""",Independent Audit I,3,"Pinello, A.",Required Material,Auditing & Assurance Services Edition: 7th,Thibodeau,9781259573286,2017,McGraw-Hill
On Campus,39,3,0,80699,"=""ACG 4684""",Fraud Examinations,3,"Valencia, A.",Required Material,Prin of Fraud Examination Edition: 4th,Wells,9781118922347,2014,"John Wiley & Sons, Incorporated"
On Campus,33,3,0,80700,"=""ACG 6205""",Advanced Accounting,3,"Volkan, A.",Required Material,Advanced Accounting Edition: 13th,Beams,9780134472140,2018,Pearson
On Campus,30,3,0,82653,"=""ACG 6655""",Independent Audit II,3,"Pinello, A.",Required Material,Auditing Cases: An Interactive Learning Approach (RRPHE) Edition: 7th,Beasley,9780134421827,,PH - (Rental Rev Share)
On Campus,32,9,0,80942,"=""ADV 3001""",Advertising Creative Strategy,3,"Wells, L.",Required Material,"Advertising Creative Strategy, Copy, Design Edition: 4th",Altstiel,9781506315386,2016,"Sage Publications, Incorporated"
On Campus,45,1,0,80944,"=""ADV 3008""",Principles of Advertising,3,"Lewis, K.",Required Material,Advertising & Promotion (Connect Plus Mktg Access) Edition: 11th,Belch,9781259900235,2018,McGraw-Hill
On Campus,45,2,0,82805,"=""ADV 3008""",Principles of Advertising,3,"Borgat, N.",Required Material,Advertising & Promotion (Connect Plus Mktg Access) Edition: 11th,Belch,9781259900235,2018,McGraw-Hill
On Campus,45,5,0,80945,"=""ADV 3300""",Advertising Media Planning,3,"Wright-Isak, C.",Required Material,Media Flight Plan (w/Bind-In  Access Code) Edition: 7th,Martin,9780615988283,2015,Deer Creek Publishing
Closed,25,0,0,80067,"=""AMH 2010""",US History to 1877,3,"Davey, F.",Required Material,Visions of America (V1)(w/out Access)(Loose Pgs) Edition: 3rd,Keene,9780133767704,2015,Pearson
Closed,25,0,0,80068,"=""AMH 2010""",US History to 1877,3,"Davey, F.",Required Material,Visions of America (V1)(w/out Access)(Loose Pgs) Edition: 3rd,Keene,9780133767704,2015,Pearson
On Campus,25,8,5,82958,"=""AMH 2020""",US History Since 1877,3,"Rohrer, S.",Required Material,American Horizons (w/Reading American Horizons) (V2) Edition: 3rd,Schaller,9780190873196,2018,Oxford University Press
Closed,25,0,5,80075,"=""AMH 2020""",US History Since 1877,3,"Rohrer, S.",Required Material,American Horizons (w/Reading American Horizons) (V2) Edition: 3rd,Schaller,9780190873196,2018,Oxford University Press
Closed,25,0,5,80074,"=""AMH 2020""",US History Since 1877,3,"Cobb, W.",Required Material,Exploring American Histories (w/Bind-In access Code) (V2) Edition: N/A,Hewitt,9780312410018,2013,MPS (Macmillan Publishers)
Closed,25,0,5,83240,"=""AMH 2020""",US History Since 1877,3,"Fortney, J.",Required Material,Give Me Liberty! Brief (w/Access Code) (V2) Edition: 5th,Foner,9780393614169,2017,"W. W. Norton & Company, Incorporated"
Closed,25,0,5,83240,"=""AMH 2020""",US History Since 1877,3,"Fortney, J.",Required Material,Lost Sisterhood Edition: N/A,Rosen,9780801826658,1982,The Johns Hopkins University Press
On Campus,50,2,5,82818,"=""AMH 2020""",US History Since 1877,3,"Epple, M.",Required Material,Charles A Lindbergh: Lone Eagle Edition: 3rd,Hixson,9780321093233,2007,Longman
On Campus,50,2,5,82818,"=""AMH 2020""",US History Since 1877,3,"Epple, M.",Required Material,Enduring Vision (V2) Edition: 9th,Boyer,9781337113779,2018,Cengage Learning
On Campus,50,2,5,82818,"=""AMH 2020""",US History Since 1877,3,"Epple, M.",Required Material,Ugly American Edition: N/A,Lederer,9780393318678,1958,"W. W. Norton & Company, Incorporated"
On Campus,50,2,5,82818,"=""AMH 2020""",US History Since 1877,3,"Epple, M.",Required Material,Jungle Edition: N/A,Sinclair,9780486419237,2001,DOVER PUB INC
On Campus,25,1,5,80076,"=""AMH 2020""",US History Since 1877,3,"Rohrer, S.",Required Material,American Horizons (w/Reading American Horizons) (V2) Edition: 3rd,Schaller,9780190873196,2018,Oxford University Press
Distance Learning,25,1,5,80069,"=""AMH 2020""",US History Since 1877,3,"Bouldin, E.",Required Material,Exploring American Histories (w/Bind-In access Code) (V2) Edition: N/A,Hewitt,9780312410018,2013,MPS (Macmillan Publishers)
Closed,25,0,5,80070,"=""AMH 2020""",US History Since 1877,3,"Carlson, E.",Required Material,America: Concise History (V2) Edition: 5th,Henretta,9780312643294,2012,Bedford Saint Martin's  (MPS)
Closed,25,0,5,80070,"=""AMH 2020""",US History Since 1877,3,"Carlson, E.",Required Material,Bedford Boys Edition: N/A,Kershaw,9780306811678,,"Da Capo Press, Incorporated"
Closed,25,0,5,80070,"=""AMH 2020""",US History Since 1877,3,"Carlson, E.",Required Material,Thomas A Edison & Modernization of America Edition: 2nd,Melosi,9780205539390,2007,Longman
Closed,25,0,5,80073,"=""AMH 2020""",US History Since 1877,3,"Carlson, E.",Required Material,America: Concise History (V2) Edition: 5th,Henretta,9780312643294,2012,Bedford Saint Martin's  (MPS)
Closed,25,0,5,80073,"=""AMH 2020""",US History Since 1877,3,"Carlson, E.",Required Material,Bedford Boys Edition: N/A,Kershaw,9780306811678,,"Da Capo Press, Incorporated"
Closed,25,0,5,80073,"=""AMH 2020""",US History Since 1877,3,"Carlson, E.",Required Material,Thomas A Edison & Modernization of America Edition: 2nd,Melosi,9780205539390,2007,Longman
Closed,32,-1,0,83288,"=""AMH 3547""",U.S. Military History 1900-91,3,"Carlson, E.",Required Material,American Military History (V2: 1902-1996) Edition: N/A,Matloff,9780938289715,1996,Perseus Books
Closed,32,-1,0,83288,"=""AMH 3547""",U.S. Military History 1900-91,3,"Carlson, E.",Required Material,With the Old Breed (With New Intro) Edition: N/A,Sledge,9780891419068,2007,Ballantine Books
Closed,32,-1,0,83288,"=""AMH 3547""",U.S. Military History 1900-91,3,"Carlson, E.",Required Material,Withdrawal Edition: N/A,Daddis,9780190691080,2017,Oxford University Press
Distance Learning,32,2,0,83462,"=""AMH 3561""",Women in American to 1870,3,"Epple, M.",Required Material,Major Problems in American Women's History Edition: 5th,Norton,9781133955993,2014,Cengage Learning
On Campus,32,1,0,83243,"=""AMH 3580""",American Indian History,3,"Fortney, J.",Required Material,Holding Our World Together Edition: N/A,Child,9780143121596,2013,Penguin Group USA Inc
On Campus,32,1,0,83243,"=""AMH 3580""",American Indian History,3,"Fortney, J.",Required Material,Native American Testimony Edition: N/A,Nabokov,9780140281590,1999,Penguin (c/o RH)
On Campus,32,1,0,83243,"=""AMH 3580""",American Indian History,3,"Fortney, J.",Required Material,All the Real Indians Died Off Edition: N/A,Dunbar-Ortiz,9780807062654,2016,Beacon Press c/o RandomHouse
On Campus,32,1,0,83243,"=""AMH 3580""",American Indian History,3,"Fortney, J.",Required Material,Four Deaths of Acorn Whistler Edition: N/A,Piker,9780674046863,2013,Harvard University Press
Closed,32,0,0,83303,"=""AMH 4512""",Diplomatic History of the U.S.,3,"Epple, M.",Required Material,Blue and Gray Diplomacy: A History of Union and Confederate Foreign Relations Edition: N/A,Jones,9780807898574,,University of North Carolina Press
Closed,32,0,0,83303,"=""AMH 4512""",Diplomatic History of the U.S.,3,"Epple, M.",Required Material,Myth of American Diplomacy Edition: N/A,Hixson,9780300151312,2009,Yale University Press
Closed,32,0,0,83303,"=""AMH 4512""",Diplomatic History of the U.S.,3,"Epple, M.",Required Material,American Foreign Relations Edition: N/A,Hixson,9780415841061,2016,Routledge
On Campus,15,7,0,83245,"=""AMH 6278""",U.S. in the Cold War,3,"Epple, M.",Required Material,Homeward Bound Edition: 4th,May,9780465064649,2017,Basic Books
On Campus,15,7,0,83245,"=""AMH 6278""",U.S. in the Cold War,3,"Epple, M.",Required Material,Richard Nixon & the Vietnam War Edition: N/A,Schmitz,9781442262263,2016,"Rowman & Littlefield Publishing Group, Incorporated"
On Campus,15,7,0,83245,"=""AMH 6278""",U.S. in the Cold War,3,"Epple, M.",Required Material,Replacing France Edition: N/A,Statler,9780813193304,,University Press of Kentucky
On Campus,15,7,0,83245,"=""AMH 6278""",U.S. in the Cold War,3,"Epple, M.",Required Material,Preponderance of Power Edition: N/A,Leffler,9780804722186,1992,Stanford University Press
On Campus,15,7,0,83245,"=""AMH 6278""",U.S. in the Cold War,3,"Epple, M.",Required Material,United States & Origins of Cold War (with New Preface) Edition: N/A,Gaddis,9780231122399,2000,Columbia University Press (Now Perseus)
On Campus,15,7,0,83245,"=""AMH 6278""",U.S. in the Cold War,3,"Epple, M.",Required Material,Parting the Curtain Edition: N/A,Hixson,9780312176808,1998,Springer Nature
On Campus,15,7,0,83245,"=""AMH 6278""",U.S. in the Cold War,3,"Epple, M.",Required Material,Essence of Decision Edition: N/A,Allison,9780321013491,1999,Longman
On Campus,15,7,0,83245,"=""AMH 6278""",U.S. in the Cold War,3,"Epple, M.",Required Material,Stalin & the Bomb Edition: N/A,Holloway,9780300066647,1994,Yale University Press
On Campus,15,7,0,83245,"=""AMH 6278""",U.S. in the Cold War,3,"Epple, M.",Required Material,Cinematic Cold War Edition: N/A,Shaw,9780700620203,,University Press of Kansas
On Campus,15,7,0,83245,"=""AMH 6278""",U.S. in the Cold War,3,"Epple, M.",Required Material,"Cold War, Cool Medium Edition: N/A",Doherty,9780231129534,2003,Columbia University Press (Now Perseus)
Closed,25,0,5,80241,"=""AML 2010""","Literature & Culture of US, I",3,"Humann, H.",Required Material,Norton Anthology of Amer Lit: Shorter (V1) Edition: 8th,Baym,9780393918861,2013,"W. W. Norton & Company, Incorporated"
Closed,25,0,5,83356,"=""AML 2020""","Literature & Culture of US, II",3,"Von Cannon, M.",Required Material,In Our Time Edition: N/A,Hemingway,9780684822761,1930,Simon & Schuster
Closed,25,0,5,83356,"=""AML 2020""","Literature & Culture of US, II",3,"Von Cannon, M.",Required Material,Norton Anthology of American Lit: (Shorter 1865 to present) (V2) Edition: 9th,Levine,9780393264531,2017,"W. W. Norton & Company, Incorporated"
Closed,25,-1,5,80240,"=""AML 2020""","Literature & Culture of US, II",3,"Cornelius, L.",Required Material,American Literature (V2) Edition: 2nd,Cain,9780134053363,2014,Pearson Education
On Campus,30,6,5,83131,"=""AML 3175""",Drama of U.S. Lit & Culture,3,"Brock, J.",Required Material,Machinal Edition: N/A,Treadwell,9781854592118,1993,"Theatre Communications Group, Incorporated"
On Campus,30,6,5,83131,"=""AML 3175""",Drama of U.S. Lit & Culture,3,"Brock, J.",Required Material,Topdog/Underdog Edition: N/A,Parks,9781559362016,2002,"Theatre Communications Group, Incorporated"
On Campus,30,6,5,83131,"=""AML 3175""",Drama of U.S. Lit & Culture,3,"Brock, J.",Required Material,Plays Edition: N/A,Fornes,9780933826830,1986,"Theatre Communications Group, Incorporated"
On Campus,30,6,5,83131,"=""AML 3175""",Drama of U.S. Lit & Culture,3,"Brock, J.",Required Material,Glass Menagerie Edition: 2nd,Williams,9780811214049,1999,New Directions Publishing Corporation
On Campus,30,6,5,83131,"=""AML 3175""",Drama of U.S. Lit & Culture,3,"Brock, J.",Required Material,John Edition: N/A,Baker,9781559365291,2016,Perseus
On Campus,30,6,5,83131,"=""AML 3175""",Drama of U.S. Lit & Culture,3,"Brock, J.",Required Material,All My Sons Edition: N/A,Miller,9780141189970,2009,Penguin (c/o RH)
On Campus,30,6,5,83131,"=""AML 3175""",Drama of U.S. Lit & Culture,3,"Brock, J.",Required Material,Fool For Love & Other Plays (Trade Ed) Edition: N/A,Shepard,9780553345902,1984,Bantam Books
On Campus,30,6,5,83131,"=""AML 3175""",Drama of U.S. Lit & Culture,3,"Brock, J.",Required Material,Iceman Cometh Edition: N/A,Oneill,9780300117431,2006,Yale University Press
Closed,30,0,5,82715,"=""AML 3213""",Early American Lit & Culture,3,"Von Cannon, J.",Required Material,Hobomok & Other Writings on Indians Edition: N/A,Child,9780813511641,1986,Rutgers University Press
Closed,30,0,5,82715,"=""AML 3213""",Early American Lit & Culture,3,"Von Cannon, J.",Required Material,Norton Anthology of Amer Lit (V A) (VA) Edition: 9th,Baym,9780393935714,2017,"W. W. Norton & Company, Incorporated"
Closed,25,0,5,83135,"=""AML 4111""",US Novels of the 19th Century,3,"Von Cannon, J.",Required Material,Linwoods Edition: N/A,Sedgwick,9780062356130,2014,HarperCollins Publishers
Closed,25,0,5,83135,"=""AML 4111""",US Novels of the 19th Century,3,"Von Cannon, J.",Required Material,Narrative of Arthur Gordon Pym of Nantucket & Related Tales Edition: N/A,Poe,9780199540471,,Oxford University Press
Closed,25,0,5,83135,"=""AML 4111""",US Novels of the 19th Century,3,"Von Cannon, J.",Required Material,House of the Seven Gables Edition: N/A,Hawthorne,9780140390056,1981,Penguin (c/o RH)
Closed,25,0,5,83135,"=""AML 4111""",US Novels of the 19th Century,3,"Von Cannon, J.",Required Material,Wieland Edition: N/A,Brown,9780199538775,2009,Oxford University Press
Closed,25,0,5,83135,"=""AML 4111""",US Novels of the 19th Century,3,"Von Cannon, J.",Required Material,Turn of the Screw & Other Stories Edition: N/A,James,9781551119113,2010,Broadview Press
On Campus,20,10,0,83361,"=""AML 6027""",Lit. of the U.S. after 1900,3,"Sugimori, M.",Required Material,There is Confusion Edition: N/A,Fauset,9781555530662,1924,Northeastern University Press
On Campus,20,10,0,83361,"=""AML 6027""",Lit. of the U.S. after 1900,3,"Sugimori, M.",Required Material,Cane Edition: N/A,Toomer,9780871402103,2011,Liveright
On Campus,20,10,0,83361,"=""AML 6027""",Lit. of the U.S. after 1900,3,"Sugimori, M.",Required Material,This Side of Paradise Edition: N/A,Fitzgerald,9780486289991,1996,DOVER PUB INC
On Campus,20,10,0,83361,"=""AML 6027""",Lit. of the U.S. after 1900,3,"Sugimori, M.",Required Material,Show Boat Edition: N/A,Ferber,9780345805737,2013,Knopf Doubleday Publishing Group
On Campus,20,10,0,83361,"=""AML 6027""",Lit. of the U.S. after 1900,3,"Sugimori, M.",Required Material,Man Called White Edition: N/A,White,9780820316987,1995,Univ of Georgia Press/Longleaf
On Campus,20,10,0,83361,"=""AML 6027""",Lit. of the U.S. after 1900,3,"Sugimori, M.",Required Material,Sound & the Fury (Corrected Text)(Trade Ed) Edition: N/A,Faulkner,9780679732242,1984,"Penguin Random House, Inc"
On Campus,20,10,0,83361,"=""AML 6027""",Lit. of the U.S. after 1900,3,"Sugimori, M.",Required Material,American Indian Stories etc Edition: N/A,Zitkala-Sa,9780142437094,2003,Penguin (c/o RH)
On Campus,20,10,0,83361,"=""AML 6027""",Lit. of the U.S. after 1900,3,"Sugimori, M.",Required Material,House of Mirth Edition: N/A,Wharton,9780312062347,1994,Bedford Saint Martin's  (MPS)
On Campus,6,3,0,82037,"=""ANG 5525C""",Human Osteology,4,"Walsh-Haney, H.",Required Material,Human Osteology Edition: 3rd,White,9780123741349,2012,"Academic Press, Incorporated"
On Campus,6,3,0,82037,"=""ANG 5525C""",Human Osteology,4,"Walsh-Haney, H.",Required Material,Standards for Data Collection from Human Skeletal Remains Edition: N/A,Haas,9781563490750,1994,Arkansas Archeological Survey
On Campus,6,3,0,82037,"=""ANG 5525C""",Human Osteology,4,"Walsh-Haney, H.",Required Material,Identification of Path Cond in Human Skeletal Remains Edition: N/A,Ortner,9780125286282,2003,"Academic Press, Incorporated"
Closed,42,0,15,80661,"=""ANS 3440""",Animal Nutrition,3,"Palmtag, M.",Required Material,Animal Nutrition (Custom FGCU) Edition: N/A,Cheeke,9781323355657,,Pearson Learning Solutions
Closed,42,0,15,80661,"=""ANS 3440""",Animal Nutrition,3,"Palmtag, M.",Required Material,Wardlaws Perspectives in Nutrition (FGCU CUSTOM) Edition: N/A,Byrd-Bredbenner,9781308557151,,MCGRAW HILL CREATE (CUSTOM PUBLISHING)
Closed,50,0,5,82753,"=""ANT 2000""",Intro to Anthropology,3,"Locascio, W.",Required Material,Human Evolution & Culture (REVEL Access) Edition: 8th,Ember,9780134050140,2015,Pearson
Distance Learning,50,1,5,82752,"=""ANT 2000""",Intro to Anthropology,3,"Wahlberg, K.",Required Material,Anthropology Edition: N/A,Welsch,9780199947591,2017,Oxford University Press
Distance Learning,50,1,5,80106,"=""ANT 2000""",Intro to Anthropology,3,"Wahlberg, K.",Required Material,Anthropology Edition: N/A,Welsch,9780199947591,2017,Oxford University Press
Distance Learning,50,1,5,80107,"=""ANT 2000""",Intro to Anthropology,3,"McDonald, F.",Required Material,Human Evolution & Culture (REVEL Access) Edition: 8th,Ember,9780134050140,2015,Pearson
On Campus,30,7,0,83250,"=""ANT 2040C""",Foundations in Museum Studies,3,"McDonald, F.",Required Material,Museums in Motion Edition: 3rd,Alexander,9781442278790,2017,ROWMAN & LITTLEFIELD PUB GROUP
Distance Learning,25,1,5,80112,"=""ANT 2211""",Peoples of the World,3,"McDonald, F.",Required Material,New Capitalists...Casino Gaming on Native Amer Land Edition: N/A,Darian-Smith,9780534613082,2004,Cengage Learning
Distance Learning,25,1,5,80112,"=""ANT 2211""",Peoples of the World,3,"McDonald, F.",Required Material,Intro to Native North America Edition: 5th,Sutton,9780133814095,2016,"Taylor & Francis Group, LLC"
Distance Learning,25,1,5,80112,"=""ANT 2211""",Peoples of the World,3,"McDonald, F.",Required Material,Voices of a Thousand People Edition: N/A,Erikson,9780803267565,2002,University of Nebraska Press
Closed,28,0,5,80114,"=""ANT 2511C""",Intro to Physical Anthropology,3,"Howell, S.",Required Material,Exploring Biological Anthropology: Essen Edition: 4th,Stanford,9780134014012,2017,Pearson
Closed,28,0,5,80114,"=""ANT 2511C""",Intro to Physical Anthropology,3,"Howell, S.",Required Material,Lab Manual & Workbook for Biological Anthropology Edition: N/A,Soluri,9780393912913,2015,"W. W. Norton & Company, Incorporated"
Closed,28,0,5,80115,"=""ANT 2511C""",Intro to Physical Anthropology,3,"Howell, S.",Required Material,Exploring Biological Anthropology: Essen Edition: 4th,Stanford,9780134014012,2017,Pearson
Closed,28,0,5,80115,"=""ANT 2511C""",Intro to Physical Anthropology,3,"Howell, S.",Required Material,Lab Manual & Workbook for Biological Anthropology Edition: N/A,Soluri,9780393912913,2015,"W. W. Norton & Company, Incorporated"
On Campus,35,17,0,80117,"=""ANT 3141""",Dev. of World Civ.,3,"Locascio, W.",Required Material,Patterns in Prehistory Edition: 5th,Wenke,9780195169287,2007,Oxford University Press
On Campus,35,10,0,83094,"=""ANT 3144""",New World Prehistory,3,"Locascio, W.",Required Material,Ancient Mexico & Central America Edition: 3rd,Evans,9780500290651,2013,Thames & Hudson
On Campus,35,10,0,83094,"=""ANT 3144""",New World Prehistory,3,"Locascio, W.",Required Material,Prehistory of South America Edition: N/A,Moore,9781607323327,,University Press of Colorado
On Campus,30,15,0,83091,"=""ANT 3390""",Visual Anthropology,3,"Wahlberg, K.",Required Material,Doing Visual Ethnography Edition: 3rd,Pink,9781446211175,2014,"Sage Publications, Incorporated"
Closed,25,0,5,82108,"=""ANT 3520C""",Forensic Anthropology,3,"Howell, S.",Required Material,Forensic Anthropology Laboratory Edition: N/A,Warren,9780849323201,2008,CRC Press LLC
Closed,25,0,5,82108,"=""ANT 3520C""",Forensic Anthropology,3,"Howell, S.",Required Material,Dead Men Do Tell Tales Edition: N/A,Maples,9780385479684,1994,Doubleday Books
Closed,25,0,5,82108,"=""ANT 3520C""",Forensic Anthropology,3,"Howell, S.",Required Material,Forensic Anthropology Edition: N/A,Christensen,9780124186712,2014,Elsevier Science & Technology Books
Closed,25,0,5,82108,"=""ANT 3520C""",Forensic Anthropology,3,"Howell, S.",Recommended Material,The Forensic Anthropology Laboratory Edition: 1st,Warren,9781420004021,2008,"Taylor & Francis Group, LLC"
On Campus,32,17,0,83097,"=""ANT 3824L""",Archaeological Field Lab,3,"Locascio, W.",Recommended Material,Archaeological Laboratory Methods: Intro Edition: 6th,Sutton,9781465243799,2014,Kendall Hunt Publishing Company
Distance Learning,32,1,0,83098,"=""ANT 4034""",History of Anthro Thought,3,"Wahlberg, K.",Required Material,Visions of Culture: Annotated Reader Edition: N/A,Moore,9780759118553,2009,"Rowman & Littlefield Publishing Group, Incorporated"
Distance Learning,32,1,0,83098,"=""ANT 4034""",History of Anthro Thought,3,"Wahlberg, K.",Required Material,Visions of Culture Edition: 4th,Moore,9780759122185,2012,"Rowman & Littlefield Publishing Group, Incorporated"
On Campus,32,14,0,83100,"=""ANT 4462""",Medical Anthropology,3,"Elgart, A.",Required Material,Medical Anthropology: A Biocultural Approach Edition: 3rd,Wiley,9780190464493,2017,Oxford University Press
On Campus,32,14,0,83100,"=""ANT 4462""",Medical Anthropology,3,"Elgart, A.",Required Material,Obesity Epidemic in North America Edition: N/A,Bellisari,9781577667735,,"Waveland Press, Incorporated"
